Country_Name,Country_Code,Percent,Net Enrollment 2017,Population 2017
Kuwait,KWT,12.82629967,85.87088,4056102
Latin America & Caribbean (excluding high income),LAC,17.31398964,93.74894,573044918
Lao PDR,LAO,NULL,92.48614,6953031
Lebanon,LBN,9.898289685,NULL,6819373
Liberia,LBR,8.147789955,44.25563,4702224
Libya,LBY,NULL,NULL,6580723
St. Lucia,LCA,14.46759332,94.86626,180955
Latin America & Caribbean,LCN,16.36314823,93.65373,634566052
Least developed countries: UN classification,LDC,14.64414244,80.98355,986099903
Low income,LIC,15.85888295,80.80115,631818732
Liechtenstein,LIE,NULL,NULL,37805
Sri Lanka,LKA,11.33919227,99.09921,21444000
Lower middle income,LMC,16.98699356,86.64486,3184107532
Low & middle income,LMY,15.82935471,88.43887,6265829670
Lesotho,LSO,14.12979984,93.31062,2091532
Late-demographic dividend,LTE,13.65982437,96.50654,2285348589
Lithuania,LTU,11.74273147,98.17529,2828403
Luxembourg,LUX,8.658579826,95.03083,596336
Latvia,LVA,11.14759575,96.30354,1942248
"Macao SAR, China",MAC,16.59794998,96.78639,622578
St. Martin (French part),MAF,NULL,NULL,36569
Morocco,MAR,16.86827726,96.89422,35581257
Monaco,MCO,5.292717212,NULL,38392
Moldova,MDA,19.46438264,86.50643,2755158
Madagascar,MDG,19.81848478,NULL,25570511
Maldives,MDV,12.55951648,95.4151,496398
Middle East & North Africa,MEA,13.77495275,93.45803,441298977
Mexico,MEX,16.57785342,95.30064,124777326
Marshall Islands,MHL,24.89999466,NULL,58053
Middle income,MIC,15.68711243,90.02743,5634010938
North Macedonia,MKD,NULL,94.8883,2074502
Mali,MLI,15.95777512,61.27746,18512429
Malta,MLT,NULL,99.53764,467999
Myanmar,MMR,1.564129829,97.66256,53382521
Middle East & North Africa (excluding high income),MNA,14.46348,93.08121,376588457
Montenegro,MNE,NULL,95.71483,622373
Mongolia,MNG,2.483357538,97.86929,3113788
Northern Mariana Islands,MNP,NULL,NULL,56553
Mozambique,MOZ,19.33679962,89.87354,28649007
Mauritania,MRT,1.228197144,77.82357,4282582
Mauritius,MUS,19.27433139,95.80694,1264613
Malawi,MWI,15.82935471,NULL,17670193
Malaysia,MYS,19.64325948,99.64564,31104655
North America,NAC,13.14618153,95.08227,361731237
Namibia,NAM,26.39399933,97.34142,2402623
New Caledonia,NCL,NULL,NULL,270000
Niger,NER,16.33996964,65.12458,21602388
Nigeria,NGA,5.944551945,NULL,190873247
Nicaragua,NIC,23.9576294,NULL,6384843
Netherlands,NLD,12.91154957,98.64765,17131296
Norway,NOR,15.91753598,99.88251,5276968
Nepal,NPL,15.76228882,96.33409,27632682
Nauru,NRU,9.823686188,NULL,10577
New Zealand,NZL,16.82961288,99.11677,4813600
OECD members,OED,12.42586994,95.64335,1350234580
Oman,OMN,12.69789982,93.28335,4665926
Other small states,OSS,14.75653448,85.42188,30148954
Pakistan,PAK,11.59167957,64.89623,207906210
Panama,PAN,11.97529556,86.23979,4106764
Peru,PER,17.87413979,94.91894,31444299
Philippines,PHL,17.48324128,93.7756,105172921
Palau,PLW,15.93351758,NULL,17809
Papua New Guinea,PNG,9.227137231,NULL,8438038
Poland,POL,11.99291134,95.78475,37974826
Pre-demographic dividend,PRE,16.11419249,NULL,894512378
Puerto Rico,PRI,19.43918374,NULL,3325286
"Korea, Dem. People's Rep.",PRK,NULL,NULL,25429816
Portugal,PRT,1.812635614,97.56411,10300300
Paraguay,PRY,11.96582853,NULL,6867058
West Bank and Gaza,PSE,17.78866494,95.26274,4454805
Pacific island small states,PSS,NULL,NULL,2419767
Post-demographic dividend,PST,12.21549988,96.18972,1106131866
French Polynesia,PYF,NULL,NULL,276108
Qatar,QAT,9.319164614,93.54716,2724727
Romania,ROU,1.469638818,82.22835,19588715
Russian Federation,RUS,14.34179712,95.09612,144496739
Rwanda,RWA,11.31956482,96.9315,11980960
South Asia,SAS,12.51737499,87.60735,1792883164
Saudi Arabia,SAU,19.36757828,95.18623,33101183
Sudan,SDN,12.47558215,60.00534,40813398
Senegal,SEN,22.62783825,75.3821,15419354
Singapore,SGP,2.785369873,99.66959,5612253
Solomon Islands,SLB,31.88999939,69.52108,636030
Sierra Leone,SLE,35.58288574,NULL,7488427
